Timestamp,country,start_date,end_date,lockdown_severity,prohibited_all,leasure_shopping_prohibited,open_to_vital,closed_to_everyone,maximum_together,sufficient_protection,mentality_grade,mentality_category,government_performance
4/10/2020 14:03:47,Belgium,3/18/2020,,5,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,Kindergarten,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",2,Only for any healthcare worker,7,Serious,6
4/15/2020 12:15:09,Croatia,3/18/2020,,8,"Going out for dinner, Sports games, Leisure activities like cinemas and theatres",1,"Kindergarten, Highschool, University","Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",,Sufficient for everyone,8,Serious,9
4/10/2020 12:46:13,Curacao,3/29/2020,,8,"Going out for dinner, Sports games, Ordering food, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,"Kindergarten, Highschool","Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",2,Only for hospital staff,4,Slightly serious,6
4/24/2020 8:17:43,Denmark,3/11/2020,,5,"Going out for dinner, Sports games, Leisure activities like cinemas and theatres",1,Hospital,,10,Sufficient for everyone,3,Slightly serious,5
4/10/2020 14:02:19,France,3/16/2020,,7.1,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,Kindergarten,"Highschool, University, Shops other than supermarkets, Restaurants, Bars",2,Only for any healthcare worker,7.4,Serious,7.4
4/15/2020 12:02:17,Germany,3/20/2020,,6,"Going out for dinner, Sports games, Leisure activities like cinemas and theatres",1,"Kindergarten, Highschool","Shops other than supermarkets, Restaurants, Bars",2,Only for any healthcare worker,7,Serious,8
4/10/2020 12:24:15,Ireland,3/24/2020,,6.8,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,None ,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",3,Only for any healthcare worker,7.8,Serious,8.8
4/10/2020 20:23:04,Israel,4/2/2020,,9,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres, Public transportation",1,None,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",4,Only for any healthcare worker,10,Very serious,10
4/10/2020 14:02:19,Italy,3/10/2020,,8,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,None,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",1,Not at all,8,Serious,6.4
4/25/2020 15:36:01,Japan,4/7/2020,,5,"Sports games, Leisure activities like cinemas and theatres",1,Kindergarten,"Kindergarten, Highschool, University, Bars",,Only for hospital staff,5,Slightly serious,4
4/10/2020 12:36:01,United Kingdom,3/23/2020,,7,"Going out for dinner, Leisure activities like cinemas and theatres",1,Kindergarten,"Highschool, University, Shops other than supermarkets, Restaurants, Bars",2,Only for hospital staff,7.5,Serious,7
4/10/2020 10:54:06,Netherlands,3/23/2020,,5,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",0,"Kindergarten, Highschool","Highschool, University, Restaurants, Bars",3,Not at all,7,Slightly serious,8
4/24/2020 7:53:23,North Macedonia,3/19/2020,4/4/2020,7,"Grocery shopping (supermarket), Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,None,"Kindergarten, Highschool, University, Restaurants, Bars",2,Sufficient for everyone,5,Slightly serious,7
4/10/2020 12:46:22,Slovenia,3/16/2020,,7.5,"Going out for dinner, Sports games, Leisure activities like cinemas and theatres",1,None,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",2,Only for hospital staff,8,Serious,8
4/10/2020 12:03:11,Switzerland,3/17/2020,,8,"Going out for dinner, Sports games, Leisure activities like cinemas and theatres",1,None,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",5,Only for any healthcare worker,9,Serious,7
4/10/2020 14:02:19,Texas (Dallas),3/22/2020,,7,"Going out for dinner, Sports games, Leaving the house for no reason, Leisure activities like cinemas and theatres",1,None,"Kindergarten, Highschool, University, Shops other than supermarkets, Bars",1,Not at all,6,Slightly serious,5
4/23/2020 18:32:39,Ukraine,3/15/2020,3/15/2020,5.7,"Going out for dinner, Leisure activities like cinemas and theatres",1,None,"Kindergarten, Highschool, University, Shops other than supermarkets, Restaurants, Bars",2,Sufficient for everyone,5.3,Slightly serious,4.4